category,difficulty,system,prompt,completion
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 4 page frames and the FIFO page replacement algorithm. Given the page reference string:
3, 0, 0, 2, 2, 0, 5, 0, 4, 4, 4, 3, 3

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
3   | [3]                   | Fault
0   | [3, 0]                | Fault
0   | [3, 0]                | Hit
2   | [3, 0, 2]             | Fault
2   | [3, 0, 2]             | Hit
0   | [3, 0, 2]             | Hit
5   | [3, 0, 2, 5]          | Fault
0   | [3, 0, 2, 5]          | Hit
4   | [0, 2, 5, 4]          | Fault
4   | [0, 2, 5, 4]          | Hit
4   | [0, 2, 5, 4]          | Hit
3   | [2, 5, 4, 3]          | Fault
3   | [2, 5, 4, 3]          | Hit

Total references = 13
Total page faults = 6
Total page hits = 7
Page fault rate = 6/13 = 0.46"
out_of_context,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Operating systems can be classified by how they schedule and share the CPU among users and processes: batch systems, multiprogrammed systems, time-sharing systems, real-time systems, and distributed systems, each suited to different workloads.

Question: How do you convert Celsius to Fahrenheit?",OUT_OF_CONTEXT
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
C-SCAN (Circular SCAN) disk scheduling moves the head in one direction, servicing every pending request it passes, all the way to that end of the disk; it then jumps immediately to the opposite end of the disk (this jump counts toward total head movement) and continues scanning in the SAME original direction, servicing the remaining requests, ensuring more uniform wait times than SCAN.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 53. The pending requests, in the order they arrived, are: 116, 144, 14, 143, 118, 172, 78, 185, 5.

Using the C-SCAN (initial direction: decreasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 53 -> 14 -> 5 -> 185 -> 172 -> 144 -> 143 -> 118 -> 116 -> 78

Head movement per step: |14-53|=39 + |5-14|=9 + |185-5|=180 + |172-185|=13 + |144-172|=28 + |143-144|=1 + |118-143|=25 + |116-118|=2 + |78-116|=38

Total head movement = 373 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=142KB, B1=342KB, B2=117KB, B3=344KB, B4=167KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=168KB, P1=150KB, P2=251KB.

Using the best-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (168KB): placed in B1 (was 342KB) -> B1 now has 174KB free
P1 (150KB): placed in B4 (was 167KB) -> B4 now has 17KB free
P2 (251KB): placed in B3 (was 344KB) -> B3 now has 93KB free

Final remaining free block sizes: B0=142KB, B1=174KB, B2=117KB, B3=93KB, B4=17KB"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LOOK disk scheduling behaves like SCAN, but instead of travelling all the way to the physical end of the disk, the head reverses direction as soon as it services the last pending request in the current direction, avoiding unnecessary movement.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 142. The pending requests, in the order they arrived, are: 136, 129, 177, 107, 139, 9, 92, 179, 137.

Using the LOOK (initial direction: increasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 142 -> 177 -> 179 -> 139 -> 137 -> 136 -> 129 -> 107 -> 92 -> 9

Head movement per step: |177-142|=35 + |179-177|=2 + |139-179|=40 + |137-139|=2 + |136-137|=1 + |129-136|=7 + |107-129|=22 + |92-107|=15 + |9-92|=83

Total head movement = 207 cylinders"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Operating systems can be classified by how they schedule and share the CPU among users and processes: batch systems, multiprogrammed systems, time-sharing systems, real-time systems, and distributed systems, each suited to different workloads.

Question: What distinguishes a hard real-time system from a soft real-time system?","A hard real-time system must meet its deadlines absolutely — missing a deadline is considered a total system failure (e.g. flight control, pacemakers). A soft real-time system prefers to meet deadlines but tolerates occasional misses with degraded (not catastrophic) results, e.g. multimedia streaming."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Memory Management Unit (MMU): The hardware component that translates logical (virtual) addresses generated by the CPU into physical addresses in main memory at run time.

Question: What is Memory Management Unit (MMU)?",The hardware component that translates logical (virtual) addresses generated by the CPU into physical addresses in main memory at run time.
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=235KB, B1=104KB, B2=129KB, B3=268KB, B4=383KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=159KB, P1=163KB, P2=246KB, P3=217KB, P4=171KB.

Using the best-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (159KB): placed in B0 (was 235KB) -> B0 now has 76KB free
P1 (163KB): placed in B3 (was 268KB) -> B3 now has 105KB free
P2 (246KB): placed in B4 (was 383KB) -> B4 now has 137KB free
P3 (217KB): no free block is large enough -> CANNOT be allocated
P4 (171KB): no free block is large enough -> CANNOT be allocated

Final remaining free block sizes: B0=76KB, B1=104KB, B2=129KB, B3=105KB, B4=137KB"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 3 page frames and the FIFO page replacement algorithm. Given the page reference string:
3, 5, 3, 3, 4, 3, 3, 2, 1, 4, 0, 2

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
3   | [3]                   | Fault
5   | [3, 5]                | Fault
3   | [3, 5]                | Hit
3   | [3, 5]                | Hit
4   | [3, 5, 4]             | Fault
3   | [3, 5, 4]             | Hit
3   | [3, 5, 4]             | Hit
2   | [5, 4, 2]             | Fault
1   | [4, 2, 1]             | Fault
4   | [4, 2, 1]             | Hit
0   | [2, 1, 0]             | Fault
2   | [2, 1, 0]             | Hit

Total references = 12
Total page faults = 6
Total page hits = 6
Page fault rate = 6/12 = 0.50"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
When a page fault occurs and no free frame is available, the OS must select an existing page to evict from memory using a page-replacement algorithm, such as FIFO, LRU, or Optimal.

Question: What is the working set model, and how does it help prevent thrashing?","The working set of a process at time t is the set of pages it has referenced in the most recent Δ time units (the working-set window). The working set model allocates each process enough frames to hold its entire working set; if the total working sets of all active processes exceed available memory, the OS suspends (swaps out) some processes rather than letting all of them thrash, keeping the remaining processes running smoothly."
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Paging is a memory management scheme that permits a process's physical address space to be non-contiguous. Logical memory is divided into fixed-size blocks called pages, and physical memory into equal-size blocks called frames.

Question: What is paging, and how does it eliminate external fragmentation?","Paging divides a process's logical address space into fixed-size blocks called pages and physical memory into equal-size blocks called frames. Any page can be placed in any available frame, so a process's memory need not be contiguous in physical RAM, eliminating external fragmentation entirely (though it can still cause internal fragmentation in the last page)."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Shortest Remaining Time First (SRTF) is the preemptive version of SJF: at every instant, the CPU runs whichever ready process has the smallest remaining burst time, preempting the current process if a process with a shorter remaining time becomes ready. Ties are broken by earliest arrival time, then process ID. Completion Time (CT) is when a process finishes; Turnaround Time (TAT) = CT − Arrival Time; Waiting Time (WT) = TAT − Burst Time.

Question: Consider the following processes with their arrival and burst times (all times in milliseconds):

Process | Arrival Time | Burst Time
-----------------------------------
P1      | 5            | 3
P2      | 8            | 2
P3      | 7            | 8
P4      | 3            | 10

Using Shortest Remaining Time First (SRTF, preemptive) scheduling, draw the Gantt chart and compute the Completion Time, Turnaround Time, and Waiting Time for each process. Also compute the average waiting time and average turnaround time.","Gantt Chart:
Idle[0-3] -> P4[3-5] -> P1[5-8] -> P2[8-10] -> P4[10-18] -> P3[18-26]

Process | CT | TAT (=CT-AT) | WT (=TAT-BT)
P1      | 8  | 3            | 0
P2      | 10  | 2            | 0
P3      | 26  | 19            | 11
P4      | 18  | 15            | 5

Average Turnaround Time = (3 + 2 + 19 + 15) / 4 = 9.75 ms
Average Waiting Time = (0 + 0 + 11 + 5) / 4 = 4 ms"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Priority inversion: A scheduling anomaly where a higher-priority process is indirectly delayed by a lower-priority process holding a resource it needs, while an unrelated medium-priority process runs in between.

Question: What is Priority inversion?","A scheduling anomaly where a higher-priority process is indirectly delayed by a lower-priority process holding a resource it needs, while an unrelated medium-priority process runs in between."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Store buffer: A small per-core hardware structure that holds a core's own pending writes before they are committed to shared memory, allowing StoreLoad reordering where a core's later load can execute before its own earlier store becomes globally visible.

Question: What is Store buffer?","A small per-core hardware structure that holds a core's own pending writes before they are committed to shared memory, allowing StoreLoad reordering where a core's later load can execute before its own earlier store becomes globally visible."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
C-LOOK disk scheduling behaves like C-SCAN, but instead of jumping to the physical end of the disk, the head jumps directly to the closest pending request on the other side, avoiding unnecessary movement to an empty boundary.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 97. The pending requests, in the order they arrived, are: 64, 168, 39, 183, 108, 96, 18.

Using the C-LOOK (initial direction: decreasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 97 -> 96 -> 64 -> 39 -> 18 -> 183 -> 168 -> 108

Head movement per step: |96-97|=1 + |64-96|=32 + |39-64|=25 + |18-39|=21 + |183-18|=165 + |168-183|=15 + |108-168|=60

Total head movement = 319 cylinders"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Shortest Job First (SJF, non-preemptive) scheduling selects, among all processes that have arrived and are ready, the one with the smallest CPU burst time to run next; once started it runs to completion. Ties are broken by earliest arrival time, then by process ID. Completion Time (CT) is when a process finishes; Turnaround Time (TAT) = CT − Arrival Time; Waiting Time (WT) = TAT − Burst Time.

Question: Consider the following processes with their arrival and burst times (all times in milliseconds):

Process | Arrival Time | Burst Time
-----------------------------------
P1      | 8            | 4
P2      | 3            | 11
P3      | 2            | 3
P4      | 6            | 7

Using Shortest Job First (SJF, non-preemptive) scheduling, draw the Gantt chart and compute the Completion Time, Turnaround Time, and Waiting Time for each process. Also compute the average waiting time and average turnaround time.","Gantt Chart:
Idle[0-2] -> P3[2-5] -> P2[5-16] -> P1[16-20] -> P4[20-27]

Process | CT | TAT (=CT-AT) | WT (=TAT-BT)
P1      | 20  | 12            | 8
P2      | 16  | 13            | 2
P3      | 5  | 3            | 0
P4      | 27  | 21            | 14

Average Turnaround Time = (12 + 13 + 3 + 21) / 4 = 12.25 ms
Average Waiting Time = (8 + 2 + 0 + 14) / 4 = 6 ms"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Starvation: A situation where a process is perpetually denied the resources it needs to proceed, often because other processes are repeatedly given priority.

Question: What is Starvation?","A situation where a process is perpetually denied the resources it needs to proceed, often because other processes are repeatedly given priority."
applied_numerical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm avoids deadlock by only granting a resource request if the resulting state is 'safe'. A state is safe if there is some ordering (safe sequence) of all processes such that each process's remaining Need can be satisfied by the currently Available resources plus what is freed by processes earlier in the sequence. Need[i] = Max[i] - Allocation[i]. The safety algorithm repeatedly finds any unfinished process whose Need is <= Work (initially Available), 'runs' it (adding its Allocation back to Work), and marks it finished, until no more processes can be added (safe if all finish) or no more can be found (unsafe if any remain unfinished).

Question: A system has 3 processes (P0..P2) and 2 resource types (A, B). The current Allocation and Max matrices, and the Available vector, are:

Allocation:
Process | A  B
P0      | 3  0
P1      | 2  9
P2      | 3  3

Max:
Process | A  B
P0      | 4  6
P1      | 4  9
P2      | 8  8

Available: A=2, B=8

Process P1 now requests additional resources: A=0, B=1. Using the Banker's algorithm, determine whether this request can be granted immediately.","Need = Max - Allocation:
Process | A  B
P0      | 1  6
P1      | 2  0
P2      | 5  5

Step 1: Is Request <= Need[P1]? Request=[0, 1], Need[P1]=[2, 0]
-> No. The request exceeds P1's declared maximum need, which is an error condition. The request cannot be granted."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 256 bytes. A process has 7 pages, with the following page table: page 0 -> frame 5, page 1 -> frame 2, page 2 -> frame 10, page 3 -> frame 7, page 4 -> frame 3, page 5 -> frame 6, page 6 -> frame 9.

For the logical address 1586, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 1586 // 256 = 6
(b) Offset = logical address % page size = 1586 % 256 = 50
(c) From the page table, page 6 -> frame 9
(d) Physical address = (frame number x page size) + offset = (9 x 256) + 50 = 2354"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Thrashing: A state where a system spends more time swapping/paging than executing actual process instructions, caused by insufficient physical memory for the active working sets.

Question: Define Thrashing.","A state where a system spends more time swapping/paging than executing actual process instructions, caused by insufficient physical memory for the active working sets."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
FIFO page replacement evicts the page that has been resident in memory the longest, regardless of how recently or often it has been used, when a page fault occurs and all frames are full.

Question: A system uses 3 page frames and the FIFO page replacement algorithm. Given the page reference string:
2, 5, 5, 5, 5, 1, 5, 0, 5, 5, 0, 2, 3, 0

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
2   | [2]                   | Fault
5   | [2, 5]                | Fault
5   | [2, 5]                | Hit
5   | [2, 5]                | Hit
5   | [2, 5]                | Hit
1   | [2, 5, 1]             | Fault
5   | [2, 5, 1]             | Hit
0   | [5, 1, 0]             | Fault
5   | [5, 1, 0]             | Hit
5   | [5, 1, 0]             | Hit
0   | [5, 1, 0]             | Hit
2   | [1, 0, 2]             | Fault
3   | [0, 2, 3]             | Fault
0   | [0, 2, 3]             | Hit

Total references = 14
Total page faults = 6
Total page hits = 8
Page fault rate = 6/14 = 0.43"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Copy-on-Write (COW): A memory-management optimization where two processes (e.g. after fork()) share the same physical pages read-only until one attempts to write, at which point a private copy of just that page is made.

Question: What is Copy-on-Write (COW)?","A memory-management optimization where two processes (e.g. after fork()) share the same physical pages read-only until one attempts to write, at which point a private copy of just that page is made."
applied_numerical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm avoids deadlock by only granting a resource request if the resulting state is 'safe'. A state is safe if there is some ordering (safe sequence) of all processes such that each process's remaining Need can be satisfied by the currently Available resources plus what is freed by processes earlier in the sequence. Need[i] = Max[i] - Allocation[i]. The safety algorithm repeatedly finds any unfinished process whose Need is <= Work (initially Available), 'runs' it (adding its Allocation back to Work), and marks it finished, until no more processes can be added (safe if all finish) or no more can be found (unsafe if any remain unfinished).

Question: A system has 3 processes (P0..P2) and 3 resource types (A, B, C). The current Allocation and Max matrices, and the Available vector, are:

Allocation:
Process | A  B  C
P0      | 5  0  0
P1      | 1  4  2
P2      | 0  8  5

Max:
Process | A  B  C
P0      | 7  4  9
P1      | 4  5  8
P2      | 4  9  9

Available: A=2, B=4, C=7

Compute the Need matrix, and using the Banker's algorithm, determine whether the system is currently in a safe state. If it is, give a valid safe sequence.","Need = Max - Allocation:
Process | A  B  C
P0      | 2  4  9
P1      | 3  1  6
P2      | 4  1  4

No unfinished process has Need <= Work at any point, so no process beyond the ones above can be scheduled. The system is NOT in a safe state (it may deadlock)."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Priority inversion: A scheduling anomaly where a higher-priority process is indirectly delayed by a lower-priority process holding a resource it needs, while an unrelated medium-priority process runs in between.

Question: Explain the term Priority inversion in the context of operating systems.","A scheduling anomaly where a higher-priority process is indirectly delayed by a lower-priority process holding a resource it needs, while an unrelated medium-priority process runs in between."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Priority scheduling (non-preemptive) allocates the CPU to the ready process with the highest priority, where a SMALLER priority number means HIGHER priority. Once started, a process runs to completion. Ties are broken by earliest arrival time, then process ID. Completion Time (CT) is when a process finishes; Turnaround Time (TAT) = CT − Arrival Time; Waiting Time (WT) = TAT − Burst Time.

Question: Consider the following processes with their arrival and burst times (all times in milliseconds):

Process | Arrival Time | Burst Time | Priority
----------------------------------------------
P1      | 0            | 12          | 5
P2      | 9            | 2          | 3
P3      | 7            | 10          | 8
P4      | 4            | 4          | 7
P5      | 10            | 9          | 2

Using Priority (non-preemptive, smaller number = higher priority) scheduling, draw the Gantt chart and compute the Completion Time, Turnaround Time, and Waiting Time for each process. Also compute the average waiting time and average turnaround time.","Gantt Chart:
P1[0-12] -> P5[12-21] -> P2[21-23] -> P4[23-27] -> P3[27-37]

Process | CT | TAT (=CT-AT) | WT (=TAT-BT)
P1      | 12  | 12            | 0
P2      | 23  | 14            | 12
P3      | 37  | 30            | 20
P4      | 27  | 23            | 19
P5      | 21  | 11            | 2

Average Turnaround Time = (12 + 14 + 30 + 23 + 11) / 5 = 18 ms
Average Waiting Time = (0 + 12 + 20 + 19 + 2) / 5 = 10.60 ms"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Optimal (MIN/Belady's) page replacement evicts the page that will not be used again for the longest time in the future (or never used again), when a page fault occurs and all frames are full. It gives the theoretical minimum number of page faults but requires advance knowledge of the full reference string.

Question: A system uses 3 page frames and the Optimal page replacement algorithm. Given the page reference string:
2, 2, 0, 0, 2, 5, 2, 2, 3, 4, 5, 3, 1, 5

Determine, for each reference, whether it is a page hit or a page fault, show the resulting frame contents, and compute the total number of page faults and page hits.","Ref | Frame contents after this reference | Hit/Fault
2   | [2]                   | Fault
2   | [2]                   | Hit
0   | [2, 0]                | Fault
0   | [2, 0]                | Hit
2   | [2, 0]                | Hit
5   | [2, 0, 5]             | Fault
2   | [2, 0, 5]             | Hit
2   | [2, 0, 5]             | Hit
3   | [0, 5, 3]             | Fault
4   | [5, 3, 4]             | Fault
5   | [5, 3, 4]             | Hit
3   | [5, 3, 4]             | Hit
1   | [5, 4, 1]             | Fault
5   | [5, 4, 1]             | Hit

Total references = 14
Total page faults = 6
Total page hits = 8
Page fault rate = 6/14 = 0.43"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=317KB, B1=387KB, B2=84KB, B3=72KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=121KB, P1=46KB, P2=133KB.

Using the first-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (121KB): placed in B0 (was 317KB) -> B0 now has 196KB free
P1 (46KB): placed in B0 (was 196KB) -> B0 now has 150KB free
P2 (133KB): placed in B0 (was 150KB) -> B0 now has 17KB free

Final remaining free block sizes: B0=17KB, B1=387KB, B2=84KB, B3=72KB"
applied_numerical,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
The Banker's algorithm avoids deadlock by only granting a resource request if the resulting state is 'safe'. A state is safe if there is some ordering (safe sequence) of all processes such that each process's remaining Need can be satisfied by the currently Available resources plus what is freed by processes earlier in the sequence. Need[i] = Max[i] - Allocation[i]. The safety algorithm repeatedly finds any unfinished process whose Need is <= Work (initially Available), 'runs' it (adding its Allocation back to Work), and marks it finished, until no more processes can be added (safe if all finish) or no more can be found (unsafe if any remain unfinished).

Question: A system has 3 processes (P0..P2) and 2 resource types (A, B). The current Allocation and Max matrices, and the Available vector, are:

Allocation:
Process | A  B
P0      | 6  3
P1      | 3  3
P2      | 5  2

Max:
Process | A  B
P0      | 7  4
P1      | 7  4
P2      | 5  7

Available: A=3, B=7

Compute the Need matrix, and using the Banker's algorithm, determine whether the system is currently in a safe state. If it is, give a valid safe sequence.","Need = Max - Allocation:
Process | A  B
P0      | 1  1
P1      | 4  1
P2      | 0  5

Need[P0] = [1, 1] <= Work [3, 7] -> P0 can run; Work becomes [9, 10]
Need[P1] = [4, 1] <= Work [9, 10] -> P1 can run; Work becomes [12, 13]
Need[P2] = [0, 5] <= Work [12, 13] -> P2 can run; Work becomes [17, 15]

All processes finish. The system IS in a safe state.
Safe sequence: P0 -> P1 -> P2"
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In a paged memory system, a logical address is split into a page number and an offset: page number = logical address // page size; offset = logical address % page size. The page table maps each page number to a physical frame number. The physical address is computed as: physical address = (frame number x page size) + offset.

Question: A system uses paging with a page size of 256 bytes. A process has 5 pages, with the following page table: page 0 -> frame 1, page 1 -> frame 8, page 2 -> frame 3, page 3 -> frame 7, page 4 -> frame 6.

For the logical address 639, determine: (a) the page number, (b) the offset within the page, (c) the corresponding frame number, and (d) the resulting physical address.","(a) Page number = logical address // page size = 639 // 256 = 2
(b) Offset = logical address % page size = 639 % 256 = 127
(c) From the page table, page 2 -> frame 3
(d) Physical address = (frame number x page size) + offset = (3 x 256) + 127 = 895"
